Принт	Цвет	Декоративные элементы	Рисунок	Любимые герои	Повод	Назничене подарка
(Принт 99)	Голубой берилл	Мрамор	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 100)	Золотистый;черный	Мрамор	Изображение 	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 101)	Золотистый;лавандовый	Цвета	Изображение 	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 102)	Бирюзовый;фиолетовый;светло-песочный	Яркость	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 103)	Фиолетовый;розовый;синий	Pink	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 105)	Золотистый;темно-голубой	Black	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 106)	Черный;белый	С татуировками	Женщина	Персонажи фильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 107)	Зеленый;золотистый	Изумруд	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 108)	Красный;желтый;фиолетовый	Краски	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 109)	Желтый; клубничный блонд	Краски	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 110)	Голубой;оранжевый;розовый	Краски	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 111)	Голубой;зеленый;белый	Краски	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 112)	Синий;лавандовый;белый	На цветке	Бабочка	Другие персонажи	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 113)	Крачный;черный;желтый	В цветах	Змея	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 114)	Крачный;черный;желтый	В цветах	Рыба	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 115)	Зеленый;оранжевый;желтый	Воинственный	Дракон	Персонажи мультфильмов	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 117)	Синий;темно-голубой	На берегу	Воин	Персонажи мультфильмов	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 118)	Синий;темно-голубой;белый	Цветные	Перья	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 120)	Красный;оранжевый;розовый	Цветные	Перья	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 121)	Золотистый	Золотая	Сова	Персонажи фильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 122)	Золотистый;черный;серый	Домашние	Коты	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 124)	Голубой;белый	Маленькие	Кролики	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 126)	Оранжевый;белый;светло-песочный	С цветами	Рыбы	Персонажи мультфильмов	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 129)	Красный;серый;черный	Искусство	Скульптура	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 130)	Голубой;красный	Абстракция	Волк	Персонажи фильмов	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 131)	Зеленый;голубой;оранжевый 	Закат	Поле	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
