Принт	Цвет	Декоративные элементы	Рисунок	Любимые герои	Повод	Назничене подарка
(Принт 109)	Розовый	С рисунком картинкой принтом печатью	Яркие краски	Colors	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 110)	Голубой	С рисунком картинкой принтом печатью	Яркие краски	Colors	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 111)	Голубой	С рисунком картинкой принтом печатью	Яркие краски	Colors	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 112)	Голубой	С рисунком картинкой принтом печатью	Бабочка	На цветке	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 113)	Черный	С рисунком картинкой принтом печатью	Змея	В цветах 	8 марта; 14 февраля; день рождения	Детский; для мальчика для девочки; для парня для девушки
(Принт 114)	Красный	С рисунком картинкой принтом печатью	Рыба	В цветах 	8 марта; 14 февраля; день рождения	Детский; для мальчика для девочки; для парня для девушки
(Принт 115)	Зеленый	С рисунком картинкой принтом печатью	Дракон	Dragon	8 марта; 14 февраля; день рождения	Детский; для мальчика для девочки; для парня для девушки
(Принт 117)	Синий	С рисунком картинкой принтом печатью	Воин	Стихия воды	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 118)	Синий	С рисунком картинкой принтом печатью	Ловец снов	Dream	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 120)	Голубой	С рисунком картинкой принтом печатью	Ловец снов	Dream	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 121)	Золотистый	С рисунком картинкой принтом печатью	Сова	Золото	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 122)	Белый	С рисунком картинкой принтом печатью	Коты	Cats	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 124)	Голубой	С рисунком картинкой принтом печатью	Кролики	Rabbits	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 126)	Розовый	С рисунком картинкой принтом печатью	Рыбы Японские	Koi	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 129)	Красный	С рисунком картинкой принтом печатью	Зевс	Скульптура	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 130)	Розовый	С рисунком картинкой принтом печатью	Волк	Wolf	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 131)	Голубой	С рисунком картинкой принтом печатью	Поле	Дерево	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 146)	Бежевый	С рисунком картинкой принтом печатью	Девушка блондинка стиль	С букетом эстетика	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 147)	Бежевый	С рисунком картинкой принтом печатью	Девушка брюнетка стиль	С букетом эстетика	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 148)	Бежевый	С рисунком картинкой принтом печатью	Девушка рыжая стиль	С букетом эстетика	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 149)	Бежевый	С рисунком картинкой принтом печатью	Девушка шатенка стиль	С букетом эстетика	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 150)	Черный	С рисунком картинкой принтом печатью	Девушка блондинка стиль	С кофе эстетика	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
