PRINT_NUM;IE_NAME;IE_DETAIL_PICTURE;IP_PROP_THEME;PRODUCT_CODE;SERVICE_CODE
659;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 659 (CS GO инь янь);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 659 (CS GO инь янь).jpg;Игры;СН-00010444;00-00038357
371;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 371 (DC Heroes);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 371 (DC Heroes).jpg;Фильмы, сериалы, комиксы;СН-00010444;00-00038357
097;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 097 (Fortnite арт);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 097 (Fortnite арт).jpg;Игры;СН-00010444;00-00038357
093;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 093 (Fortnite);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 093 (Fortnite).jpg;Игры;СН-00010444;00-00038357
135;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 135 (Frida Del Rey);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 135 (Frida Del Rey).jpg;Девушки;СН-00010444;00-00038357
275;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 275 (GTA 5);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 275 (GTA 5).jpg;Игры;СН-00010444;00-00038357
720;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 720 (IronMan);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 720 (IronMan).jpg;Фильмы, сериалы, комиксы;СН-00010444;00-00038357
391;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 391 (Jack Daniels);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 391 (Jack Daniels).jpg;Мода, тренды, логотипы, бренды;СН-00010444;00-00038357
710;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 710 (Likee);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 710 (Likee).jpg;Мода, тренды, логотипы, бренды;СН-00010444;00-00038357
077;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 077 (Louis Vuitton Узор);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 077 (Louis Vuitton Узор).jpg;Мода, тренды, логотипы, бренды;СН-00010444;00-00038357
165;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 165 (Love Kiss);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 165 (Love Kiss).jpg;Текстуры, узоры, графика;СН-00010444;00-00038357
187;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 187 (Love Paris);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 187 (Love Paris).jpg;Текстуры, узоры, графика;СН-00010444;00-00038357
647;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 647 (M and Ms);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 647 (M and Ms).jpg;Еда;СН-00010444;00-00038357
848;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 848 (Make Up узоры);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 848 (Make Up узоры).jpg;Текстуры, узоры, графика;СН-00010444;00-00038357
542;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 542 (Marvel Heroes);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 542 (Marvel Heroes).jpg;Фильмы, сериалы, комиксы;СН-00010444;00-00038357
503;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 503 (Nier Automata 2B);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 503 (Nier Automata 2B).jpg;Игры;СН-00010444;00-00038357
505;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 505 (Nike);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 505 (Nike).jpg;Мода, тренды, логотипы, бренды;СН-00010444;00-00038357
333;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 333 (Pepsi);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 333 (Pepsi).jpg;Мода, тренды, логотипы, бренды;СН-00010444;00-00038357
847;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 847 (Pitbul syndicate);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 847 (Pitbul syndicate).jpg;Мода, тренды, логотипы, бренды;СН-00010444;00-00038357
990;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 990 (Senpai Girl);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 990 (Senpai Girl).jpg;Девушки;СН-00010444;00-00038357
707;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 707 (Star Wars логотип);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 707 (Star Wars логотип).jpg;Мода, тренды, логотипы, бренды;СН-00010444;00-00038357
515;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 515 (Supreme Girl);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 515 (Supreme Girl).jpg;Девушки;СН-00010444;00-00038357
195;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 195 (Supreme);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 195 (Supreme).jpg;Мода, тренды, логотипы, бренды;СН-00010444;00-00038357
631;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 631 (SYL);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 631 (SYL).jpg;Мода, тренды, логотипы, бренды;СН-00010444;00-00038357
875;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 875 (World Of Tanks);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 875 (World Of Tanks).jpg;Игры;СН-00010444;00-00038357
571;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 571 (Адидас);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 571 (Адидас).jpg;Мода, тренды, логотипы, бренды;СН-00010444;00-00038357
779;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 779 (Бабочка на синих цветах);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 779 (Бабочка на синих цветах).jpg;Природа;СН-00010444;00-00038357
614;Чехол для Meizu M3 mini (M3s) силикон черный матовый Принт 614 (Божьи коровки);/upload/products_pictures/silicone/Meizu M3 mini (M3s)/mate/black/Принт 614 (Божьи коровки).jpg;Текстуры, узоры, графика;СН-00010444;00-00038357
