category_name;name_stuff;url_stuff;size;color;cloth;price
Медицинская одежда;Халат медицинский № 37 (42-56);https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-37-42-56; 42  44  46  48  50  52  54  56 ; Белый + тем.синей  Белый+ Красный  Темно-синий ; 65% полиэстер, 35 % хлопок ;760р.
Медицинская одежда;Халат медицинский № 37 (42-56);https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-37-42-56 1; 42  44  46  48  50  52  54  56 ; Белый+ Красный  Белый + тем.синей  Темно-синий ; 65% полиэстер, 35 % хлопок ;760р.
Медицинская одежда;Халат медицинский № 407 (42-58);https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-407-42-58; 42  44  46  48  50  52  54  56  58 ; Белый+серый ;  (35%-хл.., 65%-п/э) с ВО пропиткой ;710р.
Медицинская одежда;Халат медицинский № 420 (42-60);https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-420-42-60; 42  44  46  48  50  52  54  56  58  60 ; Белый ; 65% полиэстер, 35 % хлопок ;780р.
Медицинская одежда;Халат медицинский № 510 (40-56);https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-510-40-56 1; 40  42  44  46  48  50  52  54  56 ; Белый + тем.синей  Белый+ Красный ; 65% полиэстер, 35 % хлопок ;730р.
Медицинская одежда;Халат медицинский № 510 (58-64) цветной;https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-510-58-64-tsvetnoj; 58  60  62  64 ; Серо-голубой  Бирюза ; 65% полиэстер, 35 % хлопок ;780р.
Медицинская одежда;Халат медицинский № 510 большие размеры (58-64);https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-510-bolshie-razmery-58-64 12; 58  60  62  64 ; Белый+ Красный  Белый + тем.синей ; 65% полиэстер, 35 % хлопок ;780р.
Медицинская одежда;Халат медицинский № 510/1(42-56) CVC;https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-510-1-42-56-cvc; 42  44  46  48  50  52  54  56 ; Серо-голубой ; 50% хлопок , 50% полиэфир ;940р.
Медицинская одежда;Халат медицинский № 515 рукав 3/4 (40-56);https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-515-rukav-3-4-58-; 40  42  44  46  48  50  52  54 ; Белый ; 65% полиэстер, 35 % хлопок ;730р.
Медицинская одежда;Халат медицинский № 515 рукав 3/4 (58-62);https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-515-rukav-3-4-58-62; 58  60  62 ; Белый ; 65% полиэстер, 35 % хлопок ;760р.
Медицинская одежда;Халат медицинский № 516 (62-68);https://argo-ivanovo.ru/xalaty/xalat-meditsinskij-516-62-68; 62  64  66  68 ; Брусника  Лазурный  Белый ; 65% полиэстер, 35 % хлопок ;780р.
