PRINT_NUM;IE_NAME;IE_DETAIL_PICTURE;IP_PROP_THEME;PRODUCT_CODE;SERVICE_CODE
187;Чехол для OPPO F7 силикон прозрачный  Принт 187 (Love Paris);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 187 (Love Paris).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
647;Чехол для OPPO F7 силикон прозрачный  Принт 647 (M and Ms);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 647 (M and Ms).jpg;Еда;00-00011954;00-00038357
848;Чехол для OPPO F7 силикон прозрачный  Принт 848 (Make Up узоры);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 848 (Make Up узоры).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
542;Чехол для OPPO F7 силикон прозрачный  Принт 542 (Marvel Heroes);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 542 (Marvel Heroes).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
503;Чехол для OPPO F7 силикон прозрачный  Принт 503 (Nier Automata 2B);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 503 (Nier Automata 2B).jpg;Игры;00-00011954;00-00038357
505;Чехол для OPPO F7 силикон прозрачный  Принт 505 (Nike);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 505 (Nike).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
333;Чехол для OPPO F7 силикон прозрачный  Принт 333 (Pepsi);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 333 (Pepsi).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
847;Чехол для OPPO F7 силикон прозрачный  Принт 847 (Pitbul syndicate);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 847 (Pitbul syndicate).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
990;Чехол для OPPO F7 силикон прозрачный  Принт 990 (Senpai Girl);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 990 (Senpai Girl).jpg;Девушки;00-00011954;00-00038357
707;Чехол для OPPO F7 силикон прозрачный  Принт 707 (Star Wars логотип);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 707 (Star Wars логотип).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
515;Чехол для OPPO F7 силикон прозрачный  Принт 515 (Supreme Girl);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 515 (Supreme Girl).jpg;Девушки;00-00011954;00-00038357
195;Чехол для OPPO F7 силикон прозрачный  Принт 195 (Supreme);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 195 (Supreme).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
631;Чехол для OPPO F7 силикон прозрачный  Принт 631 (SYL);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 631 (SYL).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
875;Чехол для OPPO F7 силикон прозрачный  Принт 875 (World Of Tanks);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 875 (World Of Tanks).jpg;Игры;00-00011954;00-00038357
571;Чехол для OPPO F7 силикон прозрачный  Принт 571 (Адидас);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 571 (Адидас).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
779;Чехол для OPPO F7 силикон прозрачный  Принт 779 (Бабочка на синих цветах);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 779 (Бабочка на синих цветах).jpg;Природа;00-00011954;00-00038357
614;Чехол для OPPO F7 силикон прозрачный  Принт 614 (Божьи коровки);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 614 (Божьи коровки).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
956;Чехол для OPPO F7 силикон прозрачный  Принт 956 (Буйство красок);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 956 (Буйство красок).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
944;Чехол для OPPO F7 силикон прозрачный  Принт 944 (Бэтгерл);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 944 (Бэтгерл).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
856;Чехол для OPPO F7 силикон прозрачный  Принт 856 (Бэтмен);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 856 (Бэтмен).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
364;Чехол для OPPO F7 силикон прозрачный  Принт 364 (Взрыв цвета);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 364 (Взрыв цвета).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
731;Чехол для OPPO F7 силикон прозрачный  Принт 731 (Винни Пух);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 731 (Винни Пух).jpg;Мультфильмы и детские;00-00011954;00-00038357
656;Чехол для OPPO F7 силикон прозрачный  Принт 656 (Вишня);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 656 (Вишня).jpg;Еда;00-00011954;00-00038357
575;Чехол для OPPO F7 силикон прозрачный  Принт 575 (Волк);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 575 (Волк).jpg;Животные;00-00011954;00-00038357
328;Чехол для OPPO F7 силикон прозрачный  Принт 328 (Волчий оскал);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 328 (Волчий оскал).jpg;Животные;00-00011954;00-00038357
298;Чехол для OPPO F7 силикон прозрачный  Принт 298 (Ворон Фортнайт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 298 (Ворон Фортнайт).jpg;Игры;00-00011954;00-00038357
284;Чехол для OPPO F7 силикон прозрачный  Принт 284 (Гарри Поттер арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 284 (Гарри Поттер арт).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
907;Чехол для OPPO F7 силикон прозрачный  Принт 907 (Гексагональный узор);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 907 (Гексагональный узор).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
487;Чехол для OPPO F7 силикон прозрачный  Принт 487 (Геометрические узоры);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 487 (Геометрические узоры).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
280;Чехол для OPPO F7 силикон прозрачный  Принт 280 (Гепард);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 280 (Гепард).jpg;Животные;00-00011954;00-00038357
448;Чехол для OPPO F7 силикон прозрачный  Принт 448 (Герб на фоне флага);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 448 (Герб на фоне флага).jpg;Города, страны, гербы;00-00011954;00-00038357
545;Чехол для OPPO F7 силикон прозрачный  Принт 545 (Герб России);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 545 (Герб России).jpg;Города, страны, гербы;00-00011954;00-00038357
791;Чехол для OPPO F7 силикон прозрачный  Принт 791 (Герб с подписью);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 791 (Герб с подписью).jpg;Города, страны, гербы;00-00011954;00-00038357
657;Чехол для OPPO F7 силикон прозрачный  Принт 657 (Герб СССР);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 657 (Герб СССР).jpg;Города, страны, гербы;00-00011954;00-00038357
142;Чехол для OPPO F7 силикон прозрачный  Принт 142 (Голубые бабочки);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 142 (Голубые бабочки).jpg;Природа;00-00011954;00-00038357
820;Чехол для OPPO F7 силикон прозрачный  Принт 820 (Гомер);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 820 (Гомер).jpg;Арты;00-00011954;00-00038357
200;Чехол для OPPO F7 силикон прозрачный  Принт 200 (Готическая роза);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 200 (Готическая роза).jpg;Природа;00-00011954;00-00038357
603;Чехол для OPPO F7 силикон прозрачный  Принт 603 (Граффити);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 603 (Граффити).jpg;Арты;00-00011954;00-00038357
